SL,Date of Visit,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC Offered,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,Geo Informatics,VLSI,Mat Science,Mechatronics,Food Proc.,REST,"Bio
-
Medical",Phys,Mths,Chem,MBA,Earth Science,Total
92.0,,Vedanta Ltd.,,15.0,14.0,Offered,9,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,2.0
93.0,,Gulf Asia Engineering & Projects Pvt. Ltd.,,150.0,64.0,Offered,6.1,,,,,1,,,,0,,6,,,,,,,,,,,,,,,,,,,,,,7.0
94.0,,Titagarh Rail Systems Pvt. Ltd.,,76.0,37.0,Offered,6.6,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2.0
95.0,,DeltaX,,87.0,64.0,Offered,7,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
96.0,,Afcons Infrastructure Ltd.,,156.0,45.0,Offered,4.2,,,,,2,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,4.0
97.0,,Tata Consultancy Services NQT Hiring (Phase 2),,520.0,139.0,Offered,3.5-11,0,0,1,0,0,0,4,0,2,0,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,,0,10.0
98.0,,Tata Consulting Engineers Ltd.,,32.0,22.0,Offered,4.5,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,1.0
99.0,,Tata Consulting Engineers Ltd. (PG),,26.0,16.0,Offered,5,,,,,,0,,,,1,,,,,,,,0,,,,,,0,,,,,,,,,1.0
100.0,,Aakash Institute,,562.0,224.0,Offered,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,0,0,0,,0,3.0
101.0,,Linde India Ltd.,,130.0,69.0,Offered,6.75,,,0,,1,0,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,3.0
102.0,,LEA Associates Asia Pvt. Ltd.,,78.0,53.0,Offered,6.13,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6.0
103.0,,Arrise Solution India Pvt. Ltd.,,13.0,10.0,Offered,6.5,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
104.0,,Tresca Software Pvt. Ltd.,,167.0,63.0,Completed,5,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
105.0,,Birla Pivot,,90.0,73.0,Completed,11,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
106.0,,HCL Technologies Ltd.,,188.0,129.0,Offered,8.5-9.5,1,0,0,0,,0,5,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,6.0
107.0,,University of Engineering & Management,,21.0,5.0,Pending,4.2,,0,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0.0
108.0,,Eveready Industries India Ltd.,,35.0,21.0,Offered,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2.0
109.0,,Jindal Steel & Power Ltd.,,99.0,73.0,Pending,8,,,,,0,0,,,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,0.0
110.0,,Bandhan Bank Ltd.,,8.0,7.0,Offered,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2.0
111.0,,Global Seamless Tubes & Pipes Pvt. Ltd.,,37.0,6.0,Pending,4.8,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,0.0
112.0,,B & S Engineering Consultants Pvt. Ltd.,,82.0,38.0,Offered,5-6.1,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,2.0
113.0,,Tata Bluescope Steel Ltd.,,67.0,31.0,Pending,6.51,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0
114.0,,Synopsys India Pvt. Pvt.,,26.0,21.0,Offered,23,,,,0,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,1.0
115.0,,Tata Consulting Engineers Ltd. (PG) Phase 2,,13.0,9.0,Pending,5,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
116.0,,S.K. Samata & Co. Pvt. Ltd.,,142.0,51.0,Offered,4,,,,,0,,,,0,,2,,,,0,,,,,,,,,,,,,,,,,,2.0
117.0,,JK Cements Ltd.,,131.0,62.0,Pending,6,,,,,0,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,0.0
118.0,,Multiwyn Tiles Pvt. Ltd.,,18.0,3.0,Pending,3,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0
119.0,,Electrosteel Casting Ltd.,,93.0,33.0,Offered,6.5,,,,,1,,2,,0,,2,,2,,,,,,,,,,,,,,,,,,,,7.0
120.0,,Aliens Group,,19.0,13.0,Completed,6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0
121.0,,Anakin Skywalker Pvt. Ltd.,,120.0,63.0,Pending,6,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.0,,Tata Consultancy Services NQT Hiring (Phase 3),,434.0,112.0,Offered,3.5-11,5,0,7,0,3,0,7,4,1,0,3,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,33.0
123.0,,ITD Cementation India Ltd. (ME/EE),,53.0,14.0,Offered,5.75,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2.0
124.0,,ICFAI Foundation for Higher Education,,8.0,5.0,Offered,9.6,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
125.0,,Vedanta Ltd. (2),,60.0,31.0,Pending,8,,,,,2,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,2.0
126.0,,Tata Consultancy Services (Atlas Hiring),,26.0,13.0,Pending,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0
127.0,,Medha Servo Drives Pvt. Ltd.,,26.0,3.0,Pending,4.89,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
128.0,,Electrosteel Casting Ltd. (Srikalahsthi Works),,57.0,10.0,Offered,5.5,,,,,0,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,2.0
129.0,,ARCL Organics Ltd.,,85.0,37.0,Pending,6.1-8,0,0,,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,,,0.0
130.0,,RMES India Pvt. Ltd.,,95.0,32.0,Offered,5-6.5,0,0,1,0,0,0,3,0,,,,,,,,,,,,,,,,,,0,,,,,,,4.0
131.0,,KION Dematic !,,85.0,20.0,Pending,5,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0
132.0,,Cognizant,,275.0,52.0,Pending,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,,,,,,0.0
133.0,,Usha Martin Ltd.,,40.0,9.0,Pending,6.5,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,0.0
134.0,,Kalpataru Projects International Ltd.,,8.0,3.0,Offered,4.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.0
135.0,,CBNITS India Pvt. Ltd.,,75.0,18.0,Pending,5,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
136.0,,Skipper Ltd.,,150.0,65.0,Pending,6.1-8,0,,,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,0.0
137.0,,Lalbaba Engineering Group,,9.0,7.0,Pending,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
138.0,,Capgemini,,136.0,55.0,Offered,7.5,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,1.0
139.0,,Bentley Systems,,36.0,12.0,Completed,9,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
140.0,,Richard Design Services India Ltd.,,85.0,16.0,Offered,4.1-6,,,,,0,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,1.0
141.0,,Primetals Technologies Ltd. (CE),,31.0,9.0,Completed,7,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.0
142.0,,AskIITians,,356.0,56.0,Pending,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0.0
143.0,,Signotron India Pvt. Ltd.,,81.0,16.0,Pending,4.75,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
144.0,,LTI Mindtree,,268.0,63.0,Pending,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,,0,0,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,Total Offers as on 29.07.2024,,,,,,85,12,43,4,71,7,87,12,63,1,62,9,23,0,13,0,2,1,3,0,1,3,0,3,4,2,3,0,4,3,2,1,524.0
,,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,,,,,64,37,58,28,80,38,61,35,63,27,40,23,33,17,24,14,9,3,19,12,11,19,11,15,7,14,11,7,12,10,2,5,
,,ELIGIBLE / INTERESTED BATCH SIZE,,,,,,92,14,64,11,91,10,97,10,86,11,107,37,29,4,29,0,21,16,35,3,2,10,8,4,14,4,4,18,30,24,8,28,
