SL,Date of Visit,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,"Annual CTC
Offered",CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,ME.2,CE,CE.1,CE.2,MET,MET.1,MET.2,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,AERO.2,VLSI,Mat Science,Mechatronics,Food Proc.,REST,"Bio
-
Medical",Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,,"Rs. In
Lakh(p/ a)",UG,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,DD,AM PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
135.0,,Adani Group,Core Engineering,14,12,Offered,7,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4.0
136.0,,Amazon India,Software,180,99,Pending,25,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
137.0,,Vedanta Ltd.,Core Engineering,25,18,Offered,11..95,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5.0
138.0,,Shristi Infra Corp,Core Engineering,4,2,Offered,4.5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1.0
139.0,,Oracle Corporation,Software,146,75,Offered,16.64,2,0,0,,0,0,,0,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
140.0,,ImpactGuru,Marketing,18,9,Offered,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3.0
141.0,,Swym Technologies Pvt. Ltd.,Software,78,32,Pending,6,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0.0
142.0,,HIS Markit,Software,32,15,Pending,12.6,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
143.0,,"Samsung Research Institute-
Bangalore","Core
Engineering",89,54,Completed,7.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
144.0,,Concentrix Catalyst,Software,112,42,Offered,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,,1,,,,,,,,1.0
145.0,,Byju's (Faculty),Education,201,45,Offered,3.6,0,,0,,,0,,,0,,,0,,,0,,,1,,,1,,,,0,,,,,,0,,,,1,1,0,,0,4.0
146.0,,BuyerForesight,Sales,16,8,Pending,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0
147.0,,Tega Industries Ltd.,Core Engineering,48,26,Pending,6.5,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0
148.0,,Primetals Technologies India Pvt. Ltd.,Core Engineering,4,2,Pending,6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
149.0,,Infosys (DSE),Software,N.A,N.A,Offered,8,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
150.0,,Maruti Suzuki India Ltd. (M.Tech),Core Engineering,9,8,Completed,9.75,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
151.0,,Capgemini (T 203),Consulting,314,186,Offered,7.5,0,0,1,0,0,3,0,1,1,0,0,2,0,0,12,0,0,1,0,1,1,0,,,1,0,,0,0,1,,,2,,,,,,,27.0
152.0,,KION- Dematics,Core Engineering,42,15,Offered,5,,,,,,5,0,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
153.0,,Nationa Informatics Centre,Software,17,7,Pending,4.5,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
154.0,,GE Digital,Software,52,39,Pending,17.31,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
155.0,,M.N Dastur & Co. Pvt. Ltd.,"Core
Engineering",100,,Pending,5,,,,,,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,0.0
156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,Total Offers as on 24.05.2022,,,,,,104,15,59,0,19,87,0,8,110,0,18,77,0,11,101,1,5,42,0,6,30,0,4,0,21,0,3,12,3,16,3,7,4,1,1,5,0,3,0,776.0
,,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,,,,,94,45,79,26,31,76,24,34,90,31,43,64,19,24,33,12,17,37,12,18,28,11,5,2,24,11,12,18,13,19,6,11,14,9,6,10,5,4,5,
,,ELIGIBLE / INTERESTED BATCH SIZE,,,,,,73,12,48,2,27,72,1,12,75,1,14,75,1,22,96,3,45,28,1,6,27,14,7,2,32,1,21,17,5,16,11,13,12,6,11,23,5,19,3,
